ADC1 ADC2 ADC3 ADC4 ADC5 ADC6 ADC7 ADC8 ADC9 ADC10 ADC11 ADC12 ADC13 ADC14 ADC15 ADC16 ADC17 ADC18 ADC19 T1 T2 T3 T4 T5 T6 T7 T8 T9 T10 T11 T12 T13 T14 T15 T16 T17 T18 T19 
645 641 634 626 636 646 648 653 646 0 4095 4095 4095 4095 0 0 2719 0 432 -91,22 -60,49 -43,06 -60,61 -59,99 -60,62 -60,17 -60,73 -67,00 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,40 0.00 263,67 
644 640 643 636 636 638 644 654 648 0 4095 4095 4095 4095 0 0 2722 0 400 -91,28 -60,53 -42,77 -60,22 -59,99 -60,94 -60,33 -60,69 -66,91 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,77 0.00 244,14 
643 640 643 636 636 640 646 656 645 0 4095 4095 4095 4095 0 0 2724 0 384 -91,34 -60,53 -42,77 -60,22 -59,99 -60,86 -60,25 -60,61 -67,04 ,00 10,23 249,94 249,94 249,94 0.00 0.00 62,01 0.00 234,38 
650 642 641 636 634 639 644 655 637 0 4095 4095 4095 4095 0 0 2726 0 400 -90,92 -60,46 -42,84 -60,22 -60,07 -60,90 -60,33 -60,65 -67,40 ,00 10,23 249,94 249,94 249,94 0.00 0.00 62,26 0.00 244,14 
643 639 635 627 642 644 649 654 645 0 4095 4095 4095 4095 0 0 2728 0 384 -91,34 -60,57 -43,03 -60,57 -59,75 -60,70 -60,13 -60,69 -67,04 ,00 10,23 249,94 249,94 249,94 0.00 0.00 62,51 0.00 234,38 
651 648 643 628 643 648 648 647 642 0 4095 4095 4095 4095 0 0 2722 0 416 -90,86 -60,22 -42,77 -60,53 -59,71 -60,54 -60,17 -60,97 -67,18 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,77 0.00 253,91 
651 647 640 634 641 645 645 649 640 0 4095 4095 4095 4095 0 0 2721 0 384 -90,86 -60,26 -42,87 -60,30 -59,79 -60,66 -60,29 -60,89 -67,26 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,64 0.00 234,38 
650 648 642 633 644 639 643 647 639 0 4095 4095 4095 4095 0 0 2724 0 384 -90,92 -60,22 -42,81 -60,34 -59,68 -60,90 -60,37 -60,97 -67,31 ,00 10,23 249,94 249,94 249,94 0.00 0.00 62,01 0.00 234,38 
643 640 640 635 634 639 648 653 647 0 4095 4095 4095 4095 0 0 2724 0 384 -91,34 -60,53 -42,87 -60,26 -60,07 -60,90 -60,17 -60,73 -66,95 ,00 10,23 249,94 249,94 249,94 0.00 0.00 62,01 0.00 234,38 
651 645 639 633 644 640 643 647 639 0 4095 4095 4095 4095 0 0 2724 0 400 -90,86 -60,34 -42,90 -60,34 -59,68 -60,86 -60,37 -60,97 -67,31 ,00 10,23 249,94 249,94 249,94 0.00 0.00 62,01 0.00 244,14 
652 645 639 633 644 645 650 647 637 0 4095 4095 4095 4095 0 0 2725 0 336 -90,80 -60,34 -42,90 -60,34 -59,68 -60,66 -60,09 -60,97 -67,40 ,00 10,23 249,94 249,94 249,94 0.00 0.00 62,14 0.00 205,08 
645 642 642 635 635 646 641 655 642 0 4095 4095 4095 4095 0 0 2723 0 400 -91,22 -60,46 -42,81 -60,26 -60,03 -60,62 -60,45 -60,65 -67,18 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,89 0.00 244,14 
644 640 642 634 637 640 644 657 649 0 4095 4095 4095 4095 0 0 2725 0 368 -91,28 -60,53 -42,81 -60,30 -59,95 -60,86 -60,33 -60,57 -66,86 ,00 10,23 249,94 249,94 249,94 0.00 0.00 62,14 0.00 224,61 
651 648 642 637 645 639 641 648 637 0 4095 4095 4095 4095 0 0 2724 0 368 -90,86 -60,22 -42,81 -60,18 -59,64 -60,90 -60,45 -60,93 -67,40 ,00 10,23 249,94 249,94 249,94 0.00 0.00 62,01 0.00 224,61 
652 648 641 634 645 639 643 657 642 0 4095 4095 4095 4095 0 0 2727 0 384 -90,80 -60,22 -42,84 -60,30 -59,64 -60,90 -60,37 -60,57 -67,18 ,00 10,23 249,94 249,94 249,94 0.00 0.00 62,38 0.00 234,38 
